Tweet Scraped,Username,Description,Location,Followinf Count,Followers Count,Total Tweets,Retweet Count,Tweet Text,Hashtags Used
442,SankalpVarshn12,sankalp varshney,"Agra, India",515,314,94565,2,"Watch this exclusive conversation with Singer @KirtidanGadhvi and Ojas Rawal's at #PanchayatAajTakGujarat.
Full session : https://t.co/gT25wTBQ6I 
#PanchayatAajTakGujarat  #GujaratElection2022 |
@chitraaum https://t.co/Xb6r6TIiox",['PanchayatAajTakGujarat']
447,SaffronDelhite,"Veteran Tweep with Suspended past

Twitter is now Tired of Suspending me

📍Delhi is an Emotion",,805,1009,25258,0,"@ANI Alpesh Thakor looks dark...

#NarendraModi ji must give @AlpeshThakor_ 5 mushrooms @ Rs 80k each

Sic that such tucchas joined BJP.

https://t.co/7qMIH5plkT
#GujaratElection2022","['NarendraModi', 'GujaratElection2022']"
451,Hanselds,Professor of Management. Social Activist with no time for trolls. Retweet does NOT mean I endorse it. Just to expose it !,"Mumbai, India",320,538,3447,0,#GujaratElection2022 Seems like @BJPindia__ is getting desperate.  Looks like they are anticipating a major drubbing on Dec 8.  Their desperation is showing with the Kanchan Jariwala kidnapping.  AAP must be a very happy party with Cong imploding,['GujaratElection2022']
453,indiatvnews,India’s most watched Hindi News Channel. Follow for latest/breaking News Alerts from all over the Globe. FB:https://t.co/IJtJpoipue,India,29,2183239,681438,0,"#GujaratElection2022: #Congress announces final list of 37 candidates

#GujaratAssemblyPolls #GujaratAssemblyElection2022 #CongressForGujarat #congresscandidate 

https://t.co/FW8c7L2cOJ","['GujaratElection2022', 'Congress', 'GujaratAssemblyPolls', 'GujaratAssemblyElection2022', 'CongressForGujarat', 'congresscandidate']"
458,MaheshJethwa7,,,103,32,293,2,"Gujarat #GujaratElections 
#GujaratElection2022 @narendramodi lion of coming https://t.co/GffRfYo7F6","['GujaratElections', 'GujaratElection2022']"
459,MaheshJethwa7,,,103,32,293,2,"Gujarat #GujaratElections 
#GujaratElection2022 @narendramodi lion of coming https://t.co/X1GQMCsjdw","['GujaratElections', 'GujaratElection2022']"
461,pgarde3,Blessed with two amazing kids. Life's good.,,569,588,1225,5,Amit Shah - Gujarat BJP CM candidate | Gujarat Elections | 🟥 DD News Telangana https://t.co/OvU9V625dd via @YouTube @DDNewslive @PIB_India @AmitShahOffice @AmitShah #GujaratElection2022,[]
464,shivrajbsharma,"Climate & Disaster Resilience Practitioner #ResilienceForAll 
#Resilient #Development= #Risk Informed+#Sustainable+#Climate & #Disaster #Resilience+ #Inclusive","Vadodara, India",114,69,896,0,"I take the pledge to do my duty to vote 👍🏻    #GujaratElection #Gujarat

Will you vote in #GujaratElection2022 ? https://t.co/YOCsvzW53D","['GujaratElection', 'Gujarat', 'GujaratElection2022']"
472,bakrawala_zaid,sabr kar lo dosto thoda. ye daur bhi guzar jayega.,india,5000,940,78554,2,"BJP releases its 5th list comprising of 3 candidates to contest for the upcoming Gujarat Assembly Polls 2022

1. Kheralu - Sardarsinh Chaudhary
2. Mansa - Jayantibhai Patel
3. Garbada - Mahendra Bhabhor

#GujaratElection2022",[]
474,DeepakS63724037,"Political Observer ll Hindu Nationalist ll Entrepreneur ll Investor ll

🇮🇳RTs are not endorsement",,123,138,1118,0,#bjp4gujarat and Pratik Patel gave an apt analysis to #IndianMedia representative in #Ahmedabad #Gujarat. #BJP is the best alternative for Gujarat. #GujaratElection2022 #GujaratAssemblyPolls @PadmajaJoshi you can sense the wave. https://t.co/rAXjWitJu6,"['bjp4gujarat', 'IndianMedia', 'Ahmedabad', 'Gujarat', 'BJP', 'GujaratElection2022', 'GujaratAssemblyPolls']"
475,bindeshpandya,"Maverick | Politically Vocal | 🇮🇳
Hon to be followed by My PM @narendramodi  RTs is not Endorsement.","Ahmadabad City, India",1656,4908,36890,0,"Seating with Hon PM Realistic Statue of  @narendramodi ji 4th Gen of our Family is Ready for #GujaratElection2022 
#GujaratAssemblyPolls
#bjp4gujarat @BhushanABhatt @ijaivalbhatt @Bhupendrapbjp #BJP4JamalpurKhadia
#Khadia
#JamalpurKhadia  #કમળ_ખીલશે_ગુજરાત_જીતશે https://t.co/yigxO3KIcV","['GujaratElection2022', 'GujaratAssemblyPolls', 'bjp4gujarat', 'BJP4JamalpurKhadia', 'Khadia', 'JamalpurKhadia', 'કમળ_ખીલશે_ગુજરાત_જીતશે']"
477,AM__Hashmi_,"اسلام علیکم ورحمۃ اللہ وبرکاتہ 😊
Alhamdulillah for everything proud to Be a Muslim I supporter OF @aimim_national",Lynchistan  لینچستا ن ,840,2158,99681,4,"A Little girl Name - Fatima Yasir Pathan From Madhya Pradesh appeal to People’s of Gujarat Vote For Kite for Upcoming Elections and Support Barrister @asadowaisi 

#GujaratElection2022 https://t.co/tT5oJAp9pz",[]
482,main_amitabh_,"Traveller, Foodie, History & Political Enthusiast",Darbhanga/BLR/Patna/Del/Ranchi,577,95,1403,0,"PM #NarendraModi himself will distribute 'Voter Slips' during Door-to-Door public interaction in Gujarat on 28-29 November.

@narendramodi ji will repeat the same on 2-3 December.

Why on earth is SPG even allowing this ??

#GujaratAssemblyPolls #GujaratElection2022","['NarendraModi', 'GujaratAssemblyPolls', 'GujaratElection2022']"
1,raviprakash366,,"New Delhi, India",137,228,105823,5,"PM Modi to address poll rallies in Gujarat from Nov 20-22 in Saurashtra region

Read @ANI Story | https://t.co/9UlScTUpIp
#PMModi #GujaratElections2022 #GujaratAssemblyPolls  #elections2022 https://t.co/klvO5NrlYA",[]
2,Sommerlyst_04,Koo: https://t.co/fpQNkkx4R5,,307,446,189636,97,"PM Narendra Modi himself will distribute 'Voter Slips' during Door-to-Door public interaction in Gujarat on 28-29 November.

He will repeat the same on 2-3 December.
#GujaratAssemblyPolls",[]
4,Kaustav92690133,😊,,2816,492,3200,8,"Congress 7th list of Candidate for upcoming #GujaratElections2022        

#assemblypolls2022 #AssemblyElections2022         #GujaratAssemblyPolls     #GujaratElections https://t.co/f3LrBB1pFb","['GujaratElections2022', 'assemblypolls2022', 'AssemblyElections2022']"
5,Mdeoria1,यूपी वाला,"Deoria, India",500,493,4285,35,"Tharad Congress Rally

#GujaratAssemblyPolls
https://t.co/IgeybelSSU",['GujaratAssemblyPolls']
11,prabhushivbhole,"I hate corrupt and communal politics.
सपना है कि एक दिन भ्रष्ट्राचार मुक्त भारत देख पाऊंगा।
*AAP Supporter*
Fan of Kejriwal and AAP",,2008,1397,106424,12,"#GujaratElections2022 

AAP- 38-42% 
BJP- 34-38%
INC-16-19%

@AamAadmiParty @ArvindKejriwal @RKCERTIFIED @Vaibhav_AAP @raghav_chadha @SandeepPathak04 
#GujaratAssemblyPolls #GujaratPolls #AAP #AAPGujarat https://t.co/EwfEK3AgM9",['GujaratElections2022']
12,mrugayaswami,"Fear is no policy,surrender is no option....","गोवा (Goa), भारत (Bharat)",424,43,41452,7,"Gujarat Assembly polls: BJP plans carpet bombing across 89 constituencies on Nov 18

Read @ANI Story | https://t.co/1fvuy1eGAL
#GujaratAssemblypolls #BJP https://t.co/XZto000lAo",[]
15,AAPISHOPE,Support honest guarantees not JUMLAS,,2833,485,20225,1,"#GujaratElections2022 

AAP- 38-42% 
BJP- 34-38%
INC-16-19%

@AamAadmiParty @ArvindKejriwal @RKCERTIFIED @Vaibhav_AAP @raghav_chadha @SandeepPathak04 
#GujaratAssemblyPolls #GujaratPolls #AAP #AAPGujarat",['GujaratElections2022']
19,amitdubey1236,"Next Mission is New India with 5 trillion $ economy. #Modi_Bharosa continues.. Sabka Sath ,Sabka Vikas, Sabka Vishwas, Sabka Prayas..","Uttar Pradesh, India",3836,1933,127871,1,"Gujarat: Tomorrow is the last date for filing nomination papers for the second phase of polling.

In the second phase, voting for the 93 seats will be held on 5th December.

#GujaratAssemblyPolls | #PollsWithAIR https://t.co/RMBZxHbN8L",[]
23,rashirecords,Reporter @indianexpress | Views are damn personal | Retweets aren’t endorsements,"New Delhi, India",319,150,236,0,"Former quota agitation leader #ReshmaPatel joined the #AAP on Wednesday, a day after resigning from the #NCP apparently over the denial of ticket for the upcoming #GujaratAssemblyPolls  https://t.co/dP5SqVx4wk","['ReshmaPatel', 'AAP', 'NCP', 'GujaratAssemblyPolls']"
24,Nksagar99534670,Business of https://t.co/MXRohyfvyP Reports.,"New Delhi, India",156,21,318,3,"Congress releases one more list of 37 candidates for the upcoming Gujarat Assembly elections.

#GujaratAssemblyPolls | #PollsWithAIR https://t.co/4ajBStrDPj",['GujaratAssemblyPolls']
30,VJailkhani,very sensitive person,delhi,78,0,1821,2,"‘Give me one chance, try me once', says #ArvindKejriwal ahead of #GujaratAssemblyPolls 

@ArvindKejriwal 
https://t.co/tZMGp5Zc6y","['ArvindKejriwal', 'GujaratAssemblyPolls']"
34,SanjDeep7,"Own,Editor @PoliticalMirro @NPM_Magazine  @TheGlobalRealty @BMirror @AviationMirror @NHM0711 @TribalMirror
& @TelecomMirror .Passionate 4Journalism. @IIMC_India","Delhi,Daman,Bihar,Odisha,JH,UP",1684,745,72777,0,#GujaratAssemblyPolls: #BJP Declares Three More Candidates; 181 So Far https://t.co/kSTuSpdVtG,"['GujaratAssemblyPolls', 'BJP']"
35,PoliticalMirro,A news website called Political Mirror collects headlines from Indian political parties.,New Delhi,296,228,28518,0,"#GujaratAssemblyPolls: #BJP Declares Three More Candidates; 181 So Far
https://t.co/8DIF4LGKNv","['GujaratAssemblyPolls', 'BJP']"
38,TeamRG2024,"Fan of @RahulGandhi#RahulGandhiMeraHero , Warangal, Mission2023 #CongressHiayegi in Telangana",India,293,140,1874,0,Is #Gujarat model is fake model? Is completely PR model? #GujaratElections #GujaratAssemblyPolls #GujaratModel #Gujarat #Surat #AhmedabadAirport,"['Gujarat', 'GujaratElections', 'GujaratAssemblyPolls', 'GujaratModel', 'Gujarat', 'Surat', 'AhmedabadAirport']"
46,TakkiSabira,A human first then anything else..,,292,137,13413,30,"#Congress campaign in #Gujarat 
Volunteers connected with 65 lakh people in 5000 Villages of 182 assemblies. Took a written note of their concerns.

Congress ka Darr Modi ki speech mein saaf dikh raha tha
#GujaratAssemblyPolls #CongressForGujarat 
#GujaratElections2022 https://t.co/LGu2VIMxWM","['Congress', 'Gujarat']"
54,Josa_in,Politics | Football | Congressi | Arsenal,India,225,436,16440,0,Shameless !! Campaigning openly for AAP by @ndtvindia for #GujaratAssemblyPolls. Prime time debate intro by Nidhi Kulapathi was an open campaign for AAP. Gutter level Journalism,['GujaratAssemblyPolls']
57,MahavirsinhCh10,love Indian constitution...,,35,21,28,0,Who will win the match? #GujaratElections2022 #elections2022 #Politics #GujaratAssemblyPolls,"['GujaratElections2022', 'elections2022', 'Politics', 'GujaratAssemblyPolls']"
65,Frankie82668827,"Trees, plants, insects, animals, humans",,117,15,2191,20,#GujaratAssemblyPolls cartoon @DeccanHerald https://t.co/Tcq9jOsPwb,['GujaratAssemblyPolls']
67,Nixon_Augustin,"Chairman Membership (@INCOverseas CA Chapter), Searching #INC supporters in #USA @INCIndia #IAmCongress, #FreeSanjivBhat #ProLife #EthicalTreatmentForAnimals",,594,399,19420,1,Crowd being gathered while filing nominations of @INCGujarat candidates is a sight to watch! The atmosphere is energetic. Congress sticks to its basics and yet again showing its strength on the ground ahead of the #GujaratAssemblyPolls. https://t.co/2cRBVBB0oY,[]
69,HariyaneKaChora,Haryanvi… Love my culture & roots. Retweet does not mean endorsement. IT Engineer by profession… Namaskar 🙏,,656,1155,406371,12,"Apart from the political buzz, you can track my timeline for the food buzz in #GujaratAssemblyPolls Trust me, you won’t be disappointed! What is life for a Gujju if not for our love for good food 🤩🤩🤩",['GujaratAssemblyPolls']
71,rajkasundra25,Har har mahadev 🕉️ || Jay kashtbhanjan dev 🚩,"Gujarat, India",922,464,27727,1,"One more Gujarat Congress MLA Niranjan Patel Resigns.

#GujaratAssemblyPolls",['GujaratAssemblyPolls']
73,womanfashion008,"❇️Welcome To Our Collection
❇️Woman Fashion Collection of Kurti,Saree,Jewellery and Other Fashion Wear
❇️ Follow&RT To Support Small Business 
❇️DM Us For Order",India,3560,512,4682,0,"🇮🇳Support Small Businesses Of  
@womanfashion008 By Like,Follow,Retweet 
Thank you💖

#womanfashionwear #india
#हिंदुओं_का_गौरव_योगीजी  #PMModiAtG20 #GujaratAssemblyPolls #shraddhawalker #8billionpeople #INDvsNZ #NallaIrumaa #DanishSiddiquiAward","['womanfashionwear', 'india', 'हिंदुओं_का_गौरव_योगीजी', 'PMModiAtG20', 'GujaratAssemblyPolls', 'shraddhawalker', '8billionpeople', 'INDvsNZ', 'NallaIrumaa', 'DanishSiddiquiAward']"
80,RaviVS007,God Prophet of all religions in the World.,"नई दिल्ली, भारत",118,70,80518,5,#Congress releases the final list of 37 candidates for #GujaratAssemblyPolls. https://t.co/9zRNayWNG8,"['Congress', 'GujaratAssemblyPolls']"
82,iAbhinayD,"Storyteller | Journalist @the_hindu मुंबई | Writes about Netas, Khakis and Criminals | लगता है, आज ज़िन्दगी कुछ ख़फ़ा है, चलिए छोड़िये, कौन सा पहली दफ़ा है...!",Mumbai/Hyderabad/Adilabad Ind.,1006,4502,8962,2,"#Congress leader #JigneshMevani pitches for a Congress surge in the 2022 #GujaratAssemblyPolls. Read his interview with @iAbhinayD here:

https://t.co/YUNcBjcMqP","['Congress', 'JigneshMevani', 'GujaratAssemblyPolls']"
83,AribAffan1,Recommended by 4 out of 5 people who recommend things MBBS 🧠 Neurosurgeon 🩺,,196,123,29519,2,A must read report by @hrishirajanand_ on Disturbed Areas act. #GujaratAssemblyPolls https://t.co/1fItAj4g9f,['GujaratAssemblyPolls']
84,SanjDeep7,"Own,Editor @PoliticalMirro @NPM_Magazine  @TheGlobalRealty @BMirror @AviationMirror @NHM0711 @TribalMirror
& @TelecomMirror .Passionate 4Journalism. @IIMC_India","Delhi,Daman,Bihar,Odisha,JH,UP",1684,745,72777,0,"#GujaratAssemblyPolls: #BJP Uprooted Appeasement Politics And Established Rule Of Law, Says #AmitShah https://t.co/0McBfmb0yV","['GujaratAssemblyPolls', 'BJP', 'AmitShah']"
87,PoliticalMirro,A news website called Political Mirror collects headlines from Indian political parties.,New Delhi,296,228,28518,0,"#GujaratAssemblyPolls: #BJP Uprooted Appeasement Politics And Established Rule Of Law, Says #AmitShah
https://t.co/3BCUZeFexZ","['GujaratAssemblyPolls', 'BJP', 'AmitShah']"
89,SanjDeep7,"Own,Editor @PoliticalMirro @NPM_Magazine  @TheGlobalRealty @BMirror @AviationMirror @NHM0711 @TribalMirror
& @TelecomMirror .Passionate 4Journalism. @IIMC_India","Delhi,Daman,Bihar,Odisha,JH,UP",1684,745,72777,0,Former Quota Agitation Leader #ReshmaPatel Joins #AAP Ahead Of #GujaratAssemblyPolls https://t.co/6XIL1VMQLD,"['ReshmaPatel', 'AAP', 'GujaratAssemblyPolls']"
92,PoliticalMirro,A news website called Political Mirror collects headlines from Indian political parties.,New Delhi,296,228,28518,0,"Former Quota Agitation Leader #ReshmaPatel Joins #AAP Ahead Of #GujaratAssemblyPolls
https://t.co/AY1ynTm21u","['ReshmaPatel', 'AAP', 'GujaratAssemblyPolls']"
96,SanjDeep7,"Own,Editor @PoliticalMirro @NPM_Magazine  @TheGlobalRealty @BMirror @AviationMirror @NHM0711 @TribalMirror
& @TelecomMirror .Passionate 4Journalism. @IIMC_India","Delhi,Daman,Bihar,Odisha,JH,UP",1684,745,72777,0,#GujaratAssemblyPolls: #NarendraModi To Hold Road Show In #Vapi On #Saturday https://t.co/V01GcljNPJ,"['GujaratAssemblyPolls', 'NarendraModi', 'Vapi', 'Saturday']"
97,PoliticalMirro,A news website called Political Mirror collects headlines from Indian political parties.,New Delhi,296,228,28518,0,"#GujaratAssemblyPolls: #NarendraModi To Hold Road Show In #Vapi On #Saturday
https://t.co/mPLBGsgio4","['GujaratAssemblyPolls', 'NarendraModi', 'Vapi', 'Saturday']"
